Phoneme	Affix	Stem	rid
ʁeaktiv	if	ʁeakt	r59627
aditiv	if	adit	r7254
aditiv	if	adit	r7254
aditiv	if	adit	r7256
aditiv	if	adit	r7256
aditiv	if	adit	r90958
aditiv	if	adit	r90958
adʒɛktiv	if	adʒɛkt	r7298
adʒɛktiv	if	adʒɛkt	r7298
adʒɛktiv	if	adʒɛkt	r7300
adʒɛktiv	if	adʒɛkt	r7300
afɛktiv	if	afɛkt	r7722
afɛktiv	if	afɛkt	r7722
afɛktiv	if	afɛkt	r90922
afɛktiv	if	afɛkt	r90922
ʁeafɛkt	ʁə	afɛkt	r116316
ʁeafɛkt	ʁə	afɛkt	r116316
ʁeafɛkt	ʁə	afɛkt	r116316
ʁeafɛkt	ʁə	afɛkt	r116316
ʁeafɛkt	ʁə	afɛkt	r116316
ʁeafɛkt	ʁə	afɛkt	r116316
ʁeafɛkt	ʁə	afɛkt	r116316
ʁeafɛkt	ʁə	afɛkt	r116316
ʁeafɛkte	ʁə	afɛkte	r116316
ʁeafɛktə	ʁə	afɛktə	r116316
ʁeafɛkta	ʁə	afɛkta	r116316
ʁeafɛkte	ʁə	afɛkte	r116316
afɛktiv	if	afɛkt	r7724
afɛktiv	if	afɛkt	r7724
afɛktiv	if	afɛkt	r7732
afɛktiv	if	afɛkt	r7732
afɛktiv	if	afɛkt	r91278
afɛktiv	if	afɛkt	r91278
ʁafyt	ʁə	fyt	r116332
ʁafyt	ʁə	fyt	r116332
ʁafyt	ʁə	fyt	r116332
ʁafyt	ʁə	fyt	r116332
ʁafyt	ʁə	fyt	r116332
ʁafyt	ʁə	fyt	r116332
ʁafyt	ʁə	fyt	r116332
ʁafyt	ʁə	fyt	r116332
ʁafyte	ʁə	fyte	r116332
ʁafytə	ʁə	fytə	r116332
ʁafyta	ʁə	fyta	r116332
ʁafyte	ʁə	fyte	r116332
ʁagʁaf	ʁə	gʁaf	r116342
ʁagʁaf	ʁə	gʁaf	r116342
ʁagʁaf	ʁə	gʁaf	r116342
ʁagʁaf	ʁə	gʁaf	r116342
ʁagʁaf	ʁə	gʁaf	r116342
ʁagʁaf	ʁə	gʁaf	r116342
ʁagʁaf	ʁə	gʁaf	r116342
ʁagʁaf	ʁə	gʁaf	r116342
ʁagʁafe	ʁə	gʁafe	r116342
ʁagʁafə	ʁə	gʁafə	r116342
ʁagʁafa	ʁə	gʁafa	r116342
ʁagʁafe	ʁə	gʁafe	r116342
aɡʁeɡativ	if	aɡʁeɡat	r91190
aɡʁeɡativ	if	aɡʁeɡat	r91190
ʁagʁe	ʁə	gʁe	r116344
ʁagʁe	ʁə	gʁe	r116344
ʁagʁe	ʁə	gʁe	r116344
ʁagʁe	ʁə	gʁe	r116344
ʁagʁe	ʁə	gʁe	r116344
ʁagʁe	ʁə	gʁe	r116344
ʁagʁe	ʁə	gʁe	r116344
ʁagʁe	ʁə	gʁe	r116344
ʁagʁee	ʁə	gʁee	r116344
ʁagʁe	ʁə	gʁe	r116344
ʁagʁea	ʁə	gʁea	r116344
ʁagʁee	ʁə	gʁee	r116344
aʁize	izɛ	aʁ	r106420
aʁizə	izɛ	aʁ	r106420
aʁiza	izɛ	aʁ	r106420
aʁize	izɛ	aʁ	r106420
ʁaʒut	ʁə	ʒut	r116346
ʁaʒut	ʁə	ʒut	r116346
ʁaʒut	ʁə	ʒut	r116346
ʁaʒut	ʁə	ʒut	r116346
ʁaʒut	ʁə	ʒut	r116346
ʁaʒut	ʁə	ʒut	r116346
ʁaʒut	ʁə	ʒut	r116346
ʁaʒut	ʁə	ʒut	r116346
ʁaʒute	ʁə	ʒute	r116346
ʁaʒutə	ʁə	ʒutə	r116346
ʁaʒuta	ʁə	ʒuta	r116346
ʁaʒute	ʁə	ʒute	r116346
ʁal	ʁə	l	r116362
ʁal	ʁə	l	r116362
ʁal	ʁə	l	r116362
ʁal	ʁə	l	r116362
ʁal	ʁə	l	r116362
ʁal	ʁə	l	r116362
ʁal	ʁə	l	r116362
ʁaj	ʁə	j	r116362
ʁal	ʁə	l	r116362
ʁale	ʁə	le	r116362
ʁalə	ʁə	lə	r116362
ʁi	ʁə		r116362
ʁala	ʁə	la	r116362
ʁale	ʁə	le	r116362
ʁalɔ̃ʒ	ʁə	lɔ̃ʒ	r116366
ʁalɔ̃ʒ	ʁə	lɔ̃ʒ	r116366
ʁalɔ̃ʒ	ʁə	lɔ̃ʒ	r116366
ʁalɔ̃ʒ	ʁə	lɔ̃ʒ	r116366
ʁalɔ̃ʒ	ʁə	lɔ̃ʒ	r116366
ʁalɔ̃ʒ	ʁə	lɔ̃ʒ	r116366
ʁalɔ̃ʒ	ʁə	lɔ̃ʒ	r116366
ʁalɔ̃ʒ	ʁə	lɔ̃ʒ	r116366
ʁalɔ̃ʒe	ʁə	lɔ̃ʒe	r116366
ʁalɔ̃ʒə	ʁə	lɔ̃ʒə	r116366
ʁalɔ̃ʒa	ʁə	lɔ̃ʒa	r116366
ʁalɔ̃ʒe	ʁə	lɔ̃ʒe	r116366
allyziv	if	allyz	r8806
allyziv	if	allyz	r8806
allyziv	if	allyz	r8808
allyziv	if	allyz	r8808
allyziv	if	allyz	r90874
allyziv	if	allyz	r90874
altɛʁnativ	if	altɛʁnat	r90794
altɛʁnativ	if	altɛʁnat	r90794
altɛʁnativ	if	altɛʁnat	r8856
altɛʁnativ	if	altɛʁnat	r8856
altɛʁnativ	if	altɛʁnat	r8858
altɛʁnativ	if	altɛʁnat	r8858
altɛʁnativ	if	altɛʁnat	r8853
altɛʁnativ	if	altɛʁnat	r8853
ʁamas	ʁə	mas	r116372
ʁamas	ʁə	mas	r116372
ʁamas	ʁə	mas	r116372
ʁamas	ʁə	mas	r116372
ʁamas	ʁə	mas	r116372
ʁamas	ʁə	mas	r116372
ʁamas	ʁə	mas	r116372
ʁamas	ʁə	mas	r116372
ʁamase	ʁə	mase	r116372
ʁamasə	ʁə	masə	r116372
ʁamasa	ʁə	masa	r116372
ʁamase	ʁə	mase	r116372
ʁamãd	ʁə	mãd	r116382
ʁamãd	ʁə	mãd	r116382
ʁamãd	ʁə	mãd	r116382
ʁamãd	ʁə	mãd	r116382
ʁamãd	ʁə	mãd	r116382
ʁamãd	ʁə	mãd	r116382
ʁamãd	ʁə	mãd	r116382
ʁamãd	ʁə	mãd	r116382
ʁamãde	ʁə	mãde	r116382
ʁamãdə	ʁə	mãdə	r116382
ʁamãda	ʁə	mãda	r116382
ʁamãde	ʁə	mãde	r116382
kwadʁãgylɛʁ	kwadʁi	gylɛʁ	r188580
kwadʁãgylɛʁ	kwadʁi	gylɛʁ	r188580
kwadʁãgylɛʁ	kwadʁi	gylɛʁ	r188582
kwadʁãgylɛʁ	kwadʁi	gylɛʁ	r188582
ʁapaʁej	ʁə	paʁej	r116408
ʁapaʁɛj	ʁə	paʁɛj	r116408
ʁapaʁɛj	ʁə	paʁɛj	r116408
ʁapaʁɛj	ʁə	paʁɛj	r116408
ʁapaʁej	ʁə	paʁej	r116408
ʁapaʁɛj	ʁə	paʁɛj	r116408
ʁapaʁɛj	ʁə	paʁɛj	r116408
ʁapaʁej	ʁə	paʁej	r116408
ʁapaʁɛj	ʁə	paʁɛj	r116408
ʁapaʁɛj	ʁə	paʁɛj	r116408
ʁapaʁej	ʁə	paʁej	r116408
ʁapaʁɛj	ʁə	paʁɛj	r116408
ʁapaʁeje	ʁə	paʁeje	r116408
ʁapaʁɛjə	ʁə	paʁɛjə	r116408
ʁapaʁej	ʁə	paʁej	r116408
ʁapaʁɛj	ʁə	paʁɛj	r116408
ʁapaʁejə	ʁə	paʁejə	r116408
ʁapaʁɛja	ʁə	paʁɛja	r116408
ʁapaʁeja	ʁə	paʁeja	r116408
ʁapaʁɛje	ʁə	paʁɛje	r116408
ʁapaʁeje	ʁə	paʁeje	r116408
ʁapəl	ʁə	pəl	r105536
ʁapl	ʁə	pl	r105536
ʁapɛl	ʁə	pɛl	r105536
ʁapɛl	ʁə	pɛl	r105536
ʁapəl	ʁə	pəl	r105536
ʁapl	ʁə	pl	r105536
ʁapɛl	ʁə	pɛl	r105536
ʁapəl	ʁə	pəl	r105536
ʁapl	ʁə	pl	r105536
ʁapɛl	ʁə	pɛl	r105536
ʁapəl	ʁə	pəl	r105536
ʁapl	ʁə	pl	r105536
ʁaple	ʁə	ple	r105536
ʁapɛlə	ʁə	pɛlə	r105536
ʁapɛl	ʁə	pɛl	r105536
ʁapəla	ʁə	pəla	r105536
ʁapla	ʁə	pla	r105536
ʁapəle	ʁə	pəle	r105536
ʁaple	ʁə	ple	r105536
ʁapəl	ʁə	pəl	r116414
ʁapl	ʁə	pl	r116414
ʁapɛl	ʁə	pɛl	r116414
ʁapɛl	ʁə	pɛl	r116414
ʁapəl	ʁə	pəl	r116414
ʁapl	ʁə	pl	r116414
ʁapɛl	ʁə	pɛl	r116414
ʁapəl	ʁə	pəl	r116414
ʁapl	ʁə	pl	r116414
ʁapɛl	ʁə	pɛl	r116414
ʁapəl	ʁə	pəl	r116414
ʁapl	ʁə	pl	r116414
ʁaple	ʁə	ple	r116414
ʁapɛlə	ʁə	pɛlə	r116414
ʁapɛl	ʁə	pɛl	r116414
ʁapəla	ʁə	pəla	r116414
ʁapla	ʁə	pla	r116414
ʁapəle	ʁə	pəle	r116414
ʁaple	ʁə	ple	r116414
apɛlativ	if	apɛlat	r9692
apɛlativ	if	apɛlat	r9692
apɛlativ	if	apɛlat	r9698
apɛlativ	if	apɛlat	r9698
ʁaplik	ʁə	plik	r116418
ʁaplik	ʁə	plik	r116418
ʁaplik	ʁə	plik	r116418
ʁaplik	ʁə	plik	r116418
ʁaplik	ʁə	plik	r116418
ʁaplik	ʁə	plik	r116418
ʁaplik	ʁə	plik	r116418
ʁaplik	ʁə	plik	r116418
ʁaplike	ʁə	plike	r116418
ʁaplikə	ʁə	plikə	r116418
ʁaplika	ʁə	plika	r116418
ʁaplike	ʁə	plike	r116418
ʁapɔʁt	ʁə	pɔʁt	r105540
ʁapɔʁt	ʁə	pɔʁt	r105540
ʁapɔʁt	ʁə	pɔʁt	r105540
ʁapɔʁt	ʁə	pɔʁt	r105540
ʁapɔʁt	ʁə	pɔʁt	r105540
ʁapɔʁt	ʁə	pɔʁt	r105540
ʁapɔʁt	ʁə	pɔʁt	r105540
ʁapɔʁt	ʁə	pɔʁt	r105540
ʁapɔʁte	ʁə	pɔʁte	r105540
ʁapɔʁtə	ʁə	pɔʁtə	r105540
ʁapɔʁta	ʁə	pɔʁta	r105540
ʁapɔʁte	ʁə	pɔʁte	r105540
ʁapɔʁt	ʁə	pɔʁt	r116420
ʁapɔʁt	ʁə	pɔʁt	r116420
ʁapɔʁt	ʁə	pɔʁt	r116420
ʁapɔʁt	ʁə	pɔʁt	r116420
ʁapɔʁt	ʁə	pɔʁt	r116420
ʁapɔʁt	ʁə	pɔʁt	r116420
ʁapɔʁt	ʁə	pɔʁt	r116420
ʁapɔʁt	ʁə	pɔʁt	r116420
ʁapɔʁte	ʁə	pɔʁte	r116420
ʁapɔʁtə	ʁə	pɔʁtə	r116420
ʁapɔʁta	ʁə	pɔʁta	r116420
ʁapɔʁte	ʁə	pɔʁte	r116420
ʁãpɔʁt	ʁə	pɔʁt	r117138
ʁãpɔʁt	ʁə	pɔʁt	r117138
ʁãpɔʁt	ʁə	pɔʁt	r117138
ʁãpɔʁt	ʁə	pɔʁt	r117138
ʁãpɔʁt	ʁə	pɔʁt	r117138
ʁãpɔʁt	ʁə	pɔʁt	r117138
ʁãpɔʁt	ʁə	pɔʁt	r117138
ʁãpɔʁt	ʁə	pɔʁt	r117138
ʁãpɔʁte	ʁə	pɔʁte	r117138
ʁãpɔʁtə	ʁə	pɔʁtə	r117138
ʁãpɔʁta	ʁə	pɔʁta	r117138
ʁãpɔʁte	ʁə	pɔʁte	r117138
pɔʁtativ	if	pɔʁtat	r55812
pɔʁtativ	if	pɔʁtat	r55812
pɔʁtativ	if	pɔʁtat	r55824
pɔʁtativ	if	pɔʁtat	r55824
pɔʁtativ	if	pɔʁtat	r90808
pɔʁtativ	if	pɔʁtat	r90808
ʁeɛ̃pɔʁt	ʁə	ɛ̃pɔʁt	r117482
ʁeɛ̃pɔʁt	ʁə	ɛ̃pɔʁt	r117482
ʁeɛ̃pɔʁt	ʁə	ɛ̃pɔʁt	r117482
ʁeɛ̃pɔʁt	ʁə	ɛ̃pɔʁt	r117482
ʁeɛ̃pɔʁt	ʁə	ɛ̃pɔʁt	r117482
ʁeɛ̃pɔʁt	ʁə	ɛ̃pɔʁt	r117482
ʁeɛ̃pɔʁt	ʁə	ɛ̃pɔʁt	r117482
ʁeɛ̃pɔʁt	ʁə	ɛ̃pɔʁt	r117482
ʁeɛ̃pɔʁte	ʁə	ɛ̃pɔʁte	r117482
ʁeɛ̃pɔʁtə	ʁə	ɛ̃pɔʁtə	r117482
ʁeɛ̃pɔʁta	ʁə	ɛ̃pɔʁta	r117482
ʁeɛ̃pɔʁte	ʁə	ɛ̃pɔʁte	r117482
ʁapʁɛt	ʁə	pʁɛt	r116428
ʁapʁɛt	ʁə	pʁɛt	r116428
ʁapʁɛt	ʁə	pʁɛt	r116428
ʁapʁɛt	ʁə	pʁɛt	r116428
ʁapʁɛt	ʁə	pʁɛt	r116428
ʁapʁɛt	ʁə	pʁɛt	r116428
ʁapʁɛt	ʁə	pʁɛt	r116428
ʁapʁɛt	ʁə	pʁɛt	r116428
ʁapʁɛte	ʁə	pʁɛte	r116428
ʁapʁɛtə	ʁə	pʁɛtə	r116428
ʁapʁɛta	ʁə	pʁɛta	r116428
ʁapʁɛte	ʁə	pʁɛte	r116428
ʁeapʁet	ʁə	apʁet	r116430
ʁeapʁet	ʁə	apʁet	r116430
ʁeapʁet	ʁə	apʁet	r116430
ʁeapʁet	ʁə	apʁet	r116430
ʁeapʁet	ʁə	apʁet	r116430
ʁeapʁet	ʁə	apʁet	r116430
ʁeapʁet	ʁə	apʁet	r116430
ʁeapʁet	ʁə	apʁet	r116430
ʁeapʁete	ʁə	apʁete	r116430
ʁeapʁetə	ʁə	apʁetə	r116430
ʁeapʁeta	ʁə	apʁeta	r116430
ʁeapʁete	ʁə	apʁete	r116430
ʁapʁɔʃ	ʁə	pʁɔʃ	r116432
ʁapʁɔʃ	ʁə	pʁɔʃ	r116432
ʁapʁɔʃ	ʁə	pʁɔʃ	r116432
ʁapʁɔʃ	ʁə	pʁɔʃ	r116432
ʁapʁɔʃ	ʁə	pʁɔʃ	r116432
ʁapʁɔʃ	ʁə	pʁɔʃ	r116432
ʁapʁɔʃ	ʁə	pʁɔʃ	r116432
ʁapʁɔʃ	ʁə	pʁɔʃ	r116432
ʁapʁɔʃe	ʁə	pʁɔʃe	r116432
ʁapʁɔʃə	ʁə	pʁɔʃə	r116432
ʁapʁɔʃa	ʁə	pʁɔʃa	r116432
ʁapʁɔʃe	ʁə	pʁɔʃe	r116432
aʁbɔʁize	izɛ	aʁbɔʁ	r220492
aʁbɔʁizə	izɛ	aʁbɔʁ	r220492
aʁbɔʁiza	izɛ	aʁbɔʁ	r220492
aʁbɔʁize	izɛ	aʁbɔʁ	r220492
aʁgɔtize	izɛ	aʁgɔt	r106416
aʁgɔtizə	izɛ	aʁgɔt	r106416
aʁgɔtiza	izɛ	aʁgɔt	r106416
aʁgɔtize	izɛ	aʁgɔt	r106416
ʁeaʁm	ʁə	aʁm	r116448
ʁeaʁm	ʁə	aʁm	r116448
ʁeaʁm	ʁə	aʁm	r116448
ʁeaʁm	ʁə	aʁm	r116448
ʁeaʁm	ʁə	aʁm	r116448
ʁeaʁm	ʁə	aʁm	r116448
ʁeaʁm	ʁə	aʁm	r116448
ʁeaʁm	ʁə	aʁm	r116448
ʁeaʁme	ʁə	aʁme	r116448
ʁeaʁmə	ʁə	aʁmə	r116448
ʁeaʁma	ʁə	aʁma	r116448
ʁeaʁme	ʁə	aʁme	r116448
ʁeaʁməmã	ʁə	aʁməmã	r116444
ʁeaʁməmã	ʁə	aʁməmã	r116444
ʁeasiɲ	ʁə	asiɲ	r116468
ʁeasiɲ	ʁə	asiɲ	r116468
ʁeasiɲ	ʁə	asiɲ	r116468
ʁeasiɲ	ʁə	asiɲ	r116468
ʁeasiɲ	ʁə	asiɲ	r116468
ʁeasiɲ	ʁə	asiɲ	r116468
ʁeasiɲ	ʁə	asiɲ	r116468
ʁeasiɲ	ʁə	asiɲ	r116468
ʁeasiɲe	ʁə	asiɲe	r116468
ʁeasiɲə	ʁə	asiɲə	r116468
ʁeasiɲa	ʁə	asiɲa	r116468
ʁeasiɲe	ʁə	asiɲe	r116468
siɲifikativ	if	siɲifikat	r67188
siɲifikativ	if	siɲifikat	r67188
siɲifikativ	if	siɲifikat	r91288
siɲifikativ	if	siɲifikat	r91288
siɲifikativ	if	siɲifikat	r67182
siɲifikativ	if	siɲifikat	r67182
siɲifikativ	if	siɲifikat	r67184
siɲifikativ	if	siɲifikat	r67184
siɲifikativ	if	siɲifikat	r91416
siɲifikativ	if	siɲifikat	r91416
siɲifje	ifjɛ	siɲ	r113154
siɲifja	ifjɛ	siɲ	r113154
siɲifje	ifjɛ	siɲ	r113154
ʁasɛj	ʁə	sɛj	r116462
ʁaswaj	ʁə	swaj	r116462
ʁasɛj	ʁə	sɛj	r116462
ʁaswa	ʁə	swa	r116462
ʁasje	ʁə	sje	r116462
ʁaswa	ʁə	swa	r116462
ʁasɛj	ʁə	sɛj	r116462
ʁaswaj	ʁə	swaj	r116462
ʁasje	ʁə	sje	r116462
ʁaswa	ʁə	swa	r116462
ʁasɛj	ʁə	sɛj	r116462
ʁaswaj	ʁə	swaj	r116462
ʁasɛj	ʁə	sɛj	r116462
ʁaswa	ʁə	swa	r116462
ʁasɛj	ʁə	sɛj	r116462
ʁaswaj	ʁə	swaj	r116462
ʁaswa	ʁə	swa	r116462
ʁasje	ʁə	sje	r116462
ʁaswa	ʁə	swa	r116462
ʁasi	ʁə	si	r116462
ʁasi	ʁə	si	r116462
astʁiktiv	if	astʁikt	r10818
astʁiktiv	if	astʁikt	r10818
astʁiktiv	if	astʁikt	r10820
astʁiktiv	if	astʁikt	r10820
ʁataʃ	ʁə	taʃ	r116484
ʁataʃ	ʁə	taʃ	r116484
ʁataʃ	ʁə	taʃ	r116484
ʁataʃ	ʁə	taʃ	r116484
ʁataʃ	ʁə	taʃ	r116484
ʁataʃ	ʁə	taʃ	r116484
ʁataʃ	ʁə	taʃ	r116484
ʁataʃ	ʁə	taʃ	r116484
ʁataʃe	ʁə	taʃe	r116484
ʁataʃə	ʁə	taʃə	r116484
ʁataʃa	ʁə	taʃa	r116484
ʁataʃe	ʁə	taʃe	r116484
atɑ̃tiv	if	atɑ̃t	r10932
atɑ̃tiv	if	atɑ̃t	r10932
atɑ̃tiv	if	atɑ̃t	r90834
atɑ̃tiv	if	atɑ̃t	r90834
atɑ̃tiv	if	atɑ̃t	r113900
atɑ̃tiv	if	atɑ̃t	r113900
inatɑ̃tiv	if	inatɑ̃t	r44610
inatɑ̃tiv	if	inatɑ̃t	r44610
inatɑ̃tiv	if	inatɑ̃t	r114720
inatɑ̃tiv	if	inatɑ̃t	r114720
ʁatʁap	ʁə	tʁap	r105550
ʁatʁap	ʁə	tʁap	r105550
ʁatʁap	ʁə	tʁap	r105550
ʁatʁap	ʁə	tʁap	r105550
ʁatʁap	ʁə	tʁap	r105550
ʁatʁap	ʁə	tʁap	r105550
ʁatʁap	ʁə	tʁap	r105550
ʁatʁap	ʁə	tʁap	r105550
ʁatʁape	ʁə	tʁape	r105550
ʁatʁapə	ʁə	tʁapə	r105550
ʁatʁapa	ʁə	tʁapa	r105550
ʁatʁape	ʁə	tʁape	r105550
ʁatʁap	ʁə	tʁap	r116486
ʁatʁap	ʁə	tʁap	r116486
ʁatʁap	ʁə	tʁap	r116486
ʁatʁap	ʁə	tʁap	r116486
ʁatʁap	ʁə	tʁap	r116486
ʁatʁap	ʁə	tʁap	r116486
ʁatʁap	ʁə	tʁap	r116486
ʁatʁap	ʁə	tʁap	r116486
ʁatʁape	ʁə	tʁape	r116486
ʁatʁapə	ʁə	tʁapə	r116486
ʁatʁapa	ʁə	tʁapa	r116486
ʁatʁape	ʁə	tʁape	r116486
atʁibytiv	if	atʁibyt	r11072
atʁibytiv	if	atʁibyt	r11072
atʁibytiv	if	atʁibyt	r11074
atʁibytiv	if	atʁibyt	r11074
atʁibytiv	if	atʁibyt	r11082
atʁibytiv	if	atʁibyt	r11082
ɔditiv	if	ɔdit	r11104
ɔditiv	if	ɔdit	r11104
ɔditiv	if	ɔdit	r91510
ɔditiv	if	ɔdit	r91510
